ID_TEXT,ID_TEXT,CIUDAD,REGION,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES
Entrevistado_38,Entrevistado_38,LEÓN,BAJIO,Primera mención,OTRAS,9,10,10,8
Entrevistado_39,Entrevistado_39,LA PAZ,OCCIDENTE,Primera mención,OTRAS,9,7,7.8,4
Entrevistado_40,Entrevistado_40,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8.4,5,7.8,9
Entrevistado_41,Entrevistado_41,MEXICALI,OCCIDENTE,Primera mención,OTRAS,8.4,10,3,8
Entrevistado_42,Entrevistado_42,COATZACOALCOS,SUR,Primera mención,OTRAS,8.4,8,10,10
Entrevistado_43,Entrevistado_43,MORELIA,BAJIO,Primera mención,OTRAS,7,3,7.8,8
Entrevistado_44,Entrevistado_44,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8.4,8,10,3
Entrevistado_45,Entrevistado_45,MAZATLÁN,OCCIDENTE,Primera mención,OTRAS,8.4,8,9,1
Entrevistado_46,Entrevistado_46,CD. OBREGÓN,OCCIDENTE,Primera mención,OTRAS,8,8,1,4
Entrevistado_47,Entrevistado_47,AGUASCALIENTES,BAJIO,Primera mención,ITESM,10,4,7.8,7
Entrevistado_48,Entrevistado_48,GUADALAJARA,BAJIO,Primera mención,OTRAS,10,10,7.8,8
Entrevistado_49,Entrevistado_49,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,10,2,7.8,9
Entrevistado_50,Entrevistado_50,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,8,8,8,8
Entrevistado_51,Entrevistado_51,QUERÉTARO,CENTRO,Primera mención,UVM,10,8,7.8,7
Entrevistado_52,Entrevistado_52,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,8.4,8,8,8
Entrevistado_53,Entrevistado_53,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,10,7,7.8,8
Entrevistado_54,Entrevistado_54,LEÓN,BAJIO,Primera mención,OTRAS,7,9,7.8,8
Entrevistado_55,Entrevistado_55,VILLAHERMOSA,SUR,Primera mención,UVM,6,8,10,8
Entrevistado_56,Entrevistado_56,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,9,8,8,8
Entrevistado_57,Entrevistado_57,MONTERREY,NORTE,Primera mención,ITESM,6,10,5,8
Entrevistado_58,Entrevistado_58,MÉRIDA,SUR,Primera mención,OTRAS,2,9,7.8,8
Entrevistado_59,Entrevistado_59,QUERÉTARO,CENTRO,Primera mención,UVM,6,8,7.8,8
Entrevistado_60,Entrevistado_60,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,7,5,7.8,8
Entrevistado_61,Entrevistado_61,VILLAHERMOSA,SUR,Primera mención,OTRAS,10,10,10,8
Entrevistado_62,Entrevistado_62,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,6,8,7.8,8
Entrevistado_63,Entrevistado_63,CULIACÁN,OCCIDENTE,Primera mención,ITESM,8,10,7.8,10
Entrevistado_64,Entrevistado_64,VILLAHERMOSA,SUR,Primera mención,UVM,10,10,7.8,8
Entrevistado_65,Entrevistado_65,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,9,10,7.8,9
Entrevistado_66,Entrevistado_66,LOS MOCHIS,OCCIDENTE,Primera mención,OTRAS,9,1,7.8,8
Entrevistado_67,Entrevistado_67,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,8.4,9,7,8
Entrevistado_68,Entrevistado_68,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,6,3,8,8
Entrevistado_69,Entrevistado_69,GUADALAJARA,BAJIO,Primera mención,OTRAS,7,8,7.8,8
Entrevistado_70,Entrevistado_70,IRAPUATO,BAJIO,Primera mención,OTRAS,9,9,3,8
Entrevistado_71,Entrevistado_71,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,9,8,8,9
Entrevistado_72,Entrevistado_72,ENSENADA,OCCIDENTE,Primera mención,OTRAS,10,8,7,8
Entrevistado_73,Entrevistado_73,MORELIA,BAJIO,Primera mención,OTRAS,8.4,10,10,7
Entrevistado_74,Entrevistado_74,TEPIC,OCCIDENTE,Primera mención,OTRAS,7,6,6,8
Entrevistado_75,Entrevistado_75,GUADALAJARA,BAJIO,Primera mención,OTRAS,6,7,7.8,7
Entrevistado_76,Entrevistado_76,LEÓN,BAJIO,Primera mención,OTRAS,8.4,8,3,8
Entrevistado_77,Entrevistado_77,GUADALAJARA,BAJIO,Primera mención,OTRAS,7,10,10,3
Entrevistado_78,Entrevistado_78,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8.4,9,7,8
Entrevistado_79,Entrevistado_79,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,10,9,8
Entrevistado_80,Entrevistado_80,GUADALAJARA,BAJIO,Primera mención,OTRAS,8,9,6,10
Entrevistado_81,Entrevistado_81,MORELIA,BAJIO,Primera mención,OTRAS,8,8,7.8,8
Entrevistado_82,Entrevistado_82,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,10,8,7.8,10
Entrevistado_83,Entrevistado_83,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,9,8,7.8,5
Entrevistado_84,Entrevistado_84,MEXICALI,OCCIDENTE,Primera mención,OTRAS,10,8,7.8,8
Entrevistado_85,Entrevistado_85,PUEBLA,CENTRO,Primera mención,OTRAS,8.4,8,9,9
Entrevistado_86,Entrevistado_86,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,9,8,7.8,9
Entrevistado_87,Entrevistado_87,GUADALAJARA,BAJIO,Primera mención,OTRAS,6,10,7,8
Entrevistado_88,Entrevistado_88,MORELIA,BAJIO,Primera mención,OTRAS,9,8,10,8
Entrevistado_89,Entrevistado_89,ZAMORA,BAJIO,Primera mención,OTRAS,3,10,9,8
Entrevistado_90,Entrevistado_90,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,8.4,10,2,8
Entrevistado_91,Entrevistado_91,COATZACOALCOS,SUR,Primera mención,OTRAS,8.4,8,10,8
Entrevistado_92,Entrevistado_92,COATZACOALCOS,SUR,Primera mención,OTRAS,10,6,7.8,8
Entrevistado_93,Entrevistado_93,VILLAHERMOSA,SUR,Primera mención,UVM,8.4,10,1,7
Entrevistado_94,Entrevistado_94,VILLAHERMOSA,SUR,Primera mención,UVM,10,10,9,7
Entrevistado_95,Entrevistado_95,VILLAHERMOSA,SUR,Primera mención,OTRAS,8.4,5,7.8,10
Entrevistado_96,Entrevistado_96,LEÓN,BAJIO,Primera mención,ITESM,8.4,7,10,6
Entrevistado_97,Entrevistado_97,LEÓN,BAJIO,Primera mención,OTRAS,6,8,4,8
Entrevistado_98,Entrevistado_98,MORELIA,BAJIO,Primera mención,OTRAS,8.4,8,7.8,8
Entrevistado_99,Entrevistado_99,MORELIA,BAJIO,Primera mención,OTRAS,8.4,10,10,10
Entrevistado_100,Entrevistado_100,MONTERREY,NORTE,Primera mención,ITESM,8,5,10,8
Entrevistado_101,Entrevistado_101,LEÓN,BAJIO,Primera mención,OTRAS,8,8,4,10
Entrevistado_102,Entrevistado_102,LEÓN,BAJIO,Primera mención,OTRAS,5,8,4,9
Entrevistado_103,Entrevistado_103,MEXICALI,OCCIDENTE,Primera mención,OTRAS,8,6,7.8,8
Entrevistado_104,Entrevistado_104,ZAMORA,BAJIO,Primera mención,OTRAS,9,10,10,9
Entrevistado_105,Entrevistado_105,CULIACÁN,OCCIDENTE,Primera mención,ITESM,7,10,7.8,8
Entrevistado_106,Entrevistado_106,VILLAHERMOSA,SUR,Primera mención,UVM,10,10,2,9
Entrevistado_107,Entrevistado_107,TUXTLA GUTIÉRREZ,SUR,Primera mención,UVM,10,8,10,10
Entrevistado_108,Entrevistado_108,VILLAHERMOSA,SUR,Primera mención,OTRAS,9,8,2,9
Entrevistado_109,Entrevistado_109,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,8,10,10
Entrevistado_110,Entrevistado_110,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,8.4,8,10,6
Entrevistado_111,Entrevistado_111,COATZACOALCOS,SUR,Primera mención,OTRAS,6,7,7.8,10
Entrevistado_112,Entrevistado_112,TEPIC,OCCIDENTE,Primera mención,OTRAS,8,8,10,10
Entrevistado_113,Entrevistado_113,MÉRIDA,SUR,Primera mención,OTRAS,6,3,7.8,8
Entrevistado_114,Entrevistado_114,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,10,10,7.8,8
Entrevistado_115,Entrevistado_115,LEÓN,BAJIO,Primera mención,OTRAS,10,8,7.8,10
Entrevistado_116,Entrevistado_116,VILLAHERMOSA,SUR,Primera mención,OTRAS,7,8,2,6
Entrevistado_117,Entrevistado_117,MONTERREY,NORTE,Primera mención,OTRAS,7,6,7,8
Entrevistado_118,Entrevistado_118,VILLAHERMOSA,SUR,Primera mención,OTRAS,9,1,6,10
Entrevistado_119,Entrevistado_119,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,9,8,3,8
Entrevistado_120,Entrevistado_120,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8,9,6,8
Entrevistado_121,Entrevistado_121,MEXICALI,OCCIDENTE,Primera mención,OTRAS,8,10,10,8
Entrevistado_122,Entrevistado_122,MORELIA,BAJIO,Primera mención,OTRAS,8.4,7,7.8,8
Entrevistado_123,Entrevistado_123,GUADALAJARA,BAJIO,Primera mención,OTRAS,5,6,7,8
Entrevistado_124,Entrevistado_124,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,9,10,7.8,8
Entrevistado_125,Entrevistado_125,LA PAZ,OCCIDENTE,Primera mención,OTRAS,8,8,5,8
Entrevistado_126,Entrevistado_126,GUADALAJARA,BAJIO,Primera mención,OTRAS,5,5,10,8
Entrevistado_127,Entrevistado_127,HERMOSILLO,OCCIDENTE,Primera mención,OTRAS,9,8,7.8,8
Entrevistado_128,Entrevistado_128,IRAPUATO,BAJIO,Primera mención,OTRAS,6,4,10,8
Entrevistado_129,Entrevistado_129,TEPIC,OCCIDENTE,Primera mención,OTRAS,7,10,9,8
Entrevistado_130,Entrevistado_130,LEÓN,BAJIO,Primera mención,OTRAS,10,10,10,8
Entrevistado_131,Entrevistado_131,IRAPUATO,BAJIO,Primera mención,OTRAS,10,6,7.8,8
Entrevistado_132,Entrevistado_132,MAZATLÁN,OCCIDENTE,Primera mención,OTRAS,8.4,9,7,9
Entrevistado_133,Entrevistado_133,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,8.4,8,10,10
Entrevistado_134,Entrevistado_134,TEPIC,OCCIDENTE,Primera mención,OTRAS,9,8,6,10
Entrevistado_135,Entrevistado_135,COATZACOALCOS,SUR,Primera mención,OTRAS,10,9,5,9
Entrevistado_136,Entrevistado_136,QUERÉTARO,CENTRO,Primera mención,ANÁHUAC,8,10,7.8,8
Entrevistado_137,Entrevistado_137,COATZACOALCOS,SUR,Primera mención,OTRAS,8.4,8,10,9
Entrevistado_138,Entrevistado_138,LA PAZ,OCCIDENTE,Primera mención,OTRAS,10,2,9,10
Entrevistado_139,Entrevistado_139,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,8,8,3,8
Entrevistado_140,Entrevistado_140,VILLAHERMOSA,SUR,Primera mención,UVM,8.4,8,1,10
Entrevistado_141,Entrevistado_141,GUADALAJARA,BAJIO,Primera mención,OTRAS,7,8,6,10
Entrevistado_142,Entrevistado_142,QUERÉTARO,CENTRO,Primera mención,ANÁHUAC,8.4,6,7.8,8
Entrevistado_143,Entrevistado_143,CIUDAD DE MÉXICO,CENTRO,Primera mención,UVM,7,8,10,8
Entrevistado_144,Entrevistado_144,ZAMORA,BAJIO,Primera mención,OTRAS,8.4,10,10,8
Entrevistado_145,Entrevistado_145,IRAPUATO,BAJIO,Primera mención,OTRAS,9,10,9,10
Entrevistado_146,Entrevistado_146,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,8.4,1,10,10
Entrevistado_147,Entrevistado_147,ZAMORA,BAJIO,Primera mención,OTRAS,10,8,10,7
Entrevistado_148,Entrevistado_148,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,3,7.8,6
Entrevistado_149,Entrevistado_149,QUERÉTARO,CENTRO,Primera mención,ANÁHUAC,9,8,7.8,10
Entrevistado_150,Entrevistado_150,QUERÉTARO,CENTRO,Primera mención,UVM,8,8,7.8,8
Entrevistado_151,Entrevistado_151,TIJUANA,OCCIDENTE,Primera mención,OTRAS,7,10,8,8
Entrevistado_152,Entrevistado_152,TEPIC,OCCIDENTE,Primera mención,OTRAS,5,10,5,7
Entrevistado_153,Entrevistado_153,MORELIA,BAJIO,Primera mención,OTRAS,9,8,7.8,10
Entrevistado_154,Entrevistado_154,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,7,9,7.8,8
Entrevistado_155,Entrevistado_155,CIUDAD DE MÉXICO,CENTRO,Primera mención,ITESM,8,8,4,10
Entrevistado_156,Entrevistado_156,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,7,4,2,2
Entrevistado_157,Entrevistado_157,LEÓN,BAJIO,Primera mención,OTRAS,9,8,7.8,8
Entrevistado_158,Entrevistado_158,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,8,5,7.8,10
Entrevistado_159,Entrevistado_159,MORELIA,BAJIO,Primera mención,OTRAS,10,8,7.8,9
Entrevistado_160,Entrevistado_160,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8,9,8,8
Entrevistado_161,Entrevistado_161,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,8,7.8,7
Entrevistado_162,Entrevistado_162,GUADALAJARA,BAJIO,Primera mención,OTRAS,8,8,7.8,5
Entrevistado_163,Entrevistado_163,GUADALAJARA,BAJIO,Primera mención,UVM,10,9,10,8
Entrevistado_164,Entrevistado_164,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,10,8,6
Entrevistado_165,Entrevistado_165,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,5,10,9
Entrevistado_166,Entrevistado_166,VILLAHERMOSA,SUR,Primera mención,UVM,6,9,7.8,2
Entrevistado_167,Entrevistado_167,MORELIA,BAJIO,Primera mención,OTRAS,10,8,5,8
Entrevistado_168,Entrevistado_168,COATZACOALCOS,SUR,Primera mención,OTRAS,9,5,10,8
Entrevistado_169,Entrevistado_169,MAZATLÁN,OCCIDENTE,Primera mención,OTRAS,9,10,3,8
Entrevistado_170,Entrevistado_170,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,8,2,2
Entrevistado_171,Entrevistado_171,MORELIA,BAJIO,Primera mención,OTRAS,8.4,7,3,5
Entrevistado_172,Entrevistado_172,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,9,3,8
Entrevistado_173,Entrevistado_173,LA PAZ,OCCIDENTE,Primera mención,OTRAS,9,8,10,7
Entrevistado_174,Entrevistado_174,MORELIA,BAJIO,Primera mención,OTRAS,8,8,5,10
Entrevistado_175,Entrevistado_175,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,8,3,6
Entrevistado_176,Entrevistado_176,VILLAHERMOSA,SUR,Primera mención,UVM,8.4,8,10,8
Entrevistado_177,Entrevistado_177,MORELIA,BAJIO,Primera mención,OTRAS,6,6,10,8
Entrevistado_178,Entrevistado_178,GUADALAJARA,BAJIO,Primera mención,UVM,8,10,7.8,8
Entrevistado_179,Entrevistado_179,LEÓN,BAJIO,Primera mención,OTRAS,6,5,2,8
Entrevistado_180,Entrevistado_180,PUEBLA,CENTRO,Primera mención,OTRAS,8.4,10,7.8,9
Entrevistado_181,Entrevistado_181,LEÓN,BAJIO,Primera mención,OTRAS,7,9,7.8,8
Entrevistado_182,Entrevistado_182,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,8,4,9
Entrevistado_183,Entrevistado_183,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,8,6,7.8,10
Entrevistado_184,Entrevistado_184,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,10,6,7.8,10
Entrevistado_185,Entrevistado_185,TIJUANA,OCCIDENTE,Primera mención,OTRAS,8,6,5,8
Entrevistado_186,Entrevistado_186,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,6,1,8
Entrevistado_187,Entrevistado_187,IRAPUATO,BAJIO,Primera mención,ITESM,8.4,8,9,9
Entrevistado_188,Entrevistado_188,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,10,8,9,8
Entrevistado_189,Entrevistado_189,MEXICALI,OCCIDENTE,Primera mención,OTRAS,8.4,9,10,3
Entrevistado_190,Entrevistado_190,QUERÉTARO,CENTRO,Primera mención,UVM,7,9,7.8,8
Entrevistado_191,Entrevistado_191,MORELIA,BAJIO,Primera mención,OTRAS,7,8,7.8,8
Entrevistado_192,Entrevistado_192,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,8.4,8,9,8
Entrevistado_193,Entrevistado_193,ZAMORA,BAJIO,Primera mención,OTRAS,10,9,7.8,8
Entrevistado_194,Entrevistado_194,LEÓN,BAJIO,Primera mención,OTRAS,7,10,7.8,9
Entrevistado_195,Entrevistado_195,TUXTLA GUTIÉRREZ,SUR,Primera mención,UVM,9,10,7.8,8
Entrevistado_196,Entrevistado_196,XALAPA,ORIENTE,Primera mención,OTRAS,10,8,10,8
Entrevistado_197,Entrevistado_197,MORELIA,BAJIO,Primera mención,OTRAS,10,8,7.8,8
Entrevistado_198,Entrevistado_198,VILLAHERMOSA,SUR,Primera mención,OTRAS,8,8,7.8,6
Entrevistado_199,Entrevistado_199,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,8,5,7.8,8
Entrevistado_200,Entrevistado_200,VERACRUZ,ORIENTE,Primera mención,OTRAS,10,9,1,7
Entrevistado_201,Entrevistado_201,TAPACHULA,SUR,Primera mención,OTRAS,10,5,10,8
Entrevistado_202,Entrevistado_202,MORELIA,BAJIO,Primera mención,OTRAS,8.4,10,7.8,8
Entrevistado_203,Entrevistado_203,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,10,10,7.8,9
Entrevistado_204,Entrevistado_204,GUADALAJARA,BAJIO,Primera mención,OTRAS,10,8,7.8,8
Entrevistado_205,Entrevistado_205,MEXICALI,OCCIDENTE,Primera mención,OTRAS,5,8,7.8,8
Entrevistado_206,Entrevistado_206,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,10,3,7
Entrevistado_207,Entrevistado_207,HERMOSILLO,OCCIDENTE,Primera mención,ITESM,8.4,8,7.8,8
Entrevistado_208,Entrevistado_208,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,10,9,6,8
Entrevistado_209,Entrevistado_209,CIUDAD DE MÉXICO,CENTRO,Primera mención,ITESM,8.4,8,7.8,8
Entrevistado_210,Entrevistado_210,GUADALAJARA,BAJIO,Primera mención,OTRAS,10,6,10,4
Entrevistado_211,Entrevistado_211,MORELIA,BAJIO,Primera mención,OTRAS,9,6,7.8,9
Entrevistado_212,Entrevistado_212,COATZACOALCOS,SUR,Primera mención,OTRAS,10,9,1,8
Entrevistado_213,Entrevistado_213,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,8,6,8
Entrevistado_214,Entrevistado_214,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,3,6,8
Entrevistado_215,Entrevistado_215,ZAMORA,BAJIO,Primera mención,OTRAS,8,7,10,8
Entrevistado_216,Entrevistado_216,MEXICALI,OCCIDENTE,Primera mención,OTRAS,8.4,10,7.8,8
Entrevistado_217,Entrevistado_217,TEPIC,OCCIDENTE,Primera mención,OTRAS,8.4,8,7.8,8
Entrevistado_218,Entrevistado_218,ZAMORA,BAJIO,Primera mención,OTRAS,6,10,5,8
Entrevistado_219,Entrevistado_219,IRAPUATO,BAJIO,Primera mención,OTRAS,8,8,8,8
Entrevistado_220,Entrevistado_220,LEÓN,BAJIO,Primera mención,OTRAS,8,10,4,4
Entrevistado_221,Entrevistado_221,MONTERREY,NORTE,Primera mención,OTRAS,8.4,10,10,8
Entrevistado_222,Entrevistado_222,LA PAZ,OCCIDENTE,Primera mención,OTRAS,5,8,9,8
Entrevistado_223,Entrevistado_223,MORELIA,BAJIO,Primera mención,OTRAS,8,8,4,1
Entrevistado_224,Entrevistado_224,VILLAHERMOSA,SUR,Primera mención,OTRAS,9,9,7.8,6
Entrevistado_225,Entrevistado_225,MORELIA,BAJIO,Primera mención,OTRAS,9,10,6,8
Entrevistado_226,Entrevistado_226,MORELIA,BAJIO,Primera mención,OTRAS,8,8,7.8,3
Entrevistado_227,Entrevistado_227,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,9,4,10,8
Entrevistado_228,Entrevistado_228,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,6,10,7.8,8
Entrevistado_229,Entrevistado_229,VILLAHERMOSA,SUR,Primera mención,OTRAS,8,8,7.8,6
Entrevistado_230,Entrevistado_230,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,10,8,4,7
Entrevistado_231,Entrevistado_231,COATZACOALCOS,SUR,Primera mención,OTRAS,5,8,10,8
Entrevistado_232,Entrevistado_232,CULIACÁN,OCCIDENTE,Primera mención,ITESM,8.4,8,7.8,10
Entrevistado_233,Entrevistado_233,LA PAZ,OCCIDENTE,Primera mención,OTRAS,10,8,7.8,10
Entrevistado_234,Entrevistado_234,MORELIA,BAJIO,Primera mención,OTRAS,8,10,7,9
Entrevistado_235,Entrevistado_235,GUADALAJARA,BAJIO,Primera mención,UVM,8.4,8,7.8,5
Entrevistado_236,Entrevistado_236,MORELIA,BAJIO,Primera mención,OTRAS,9,8,7.8,4
Entrevistado_237,Entrevistado_237,GUADALAJARA,BAJIO,Primera mención,OTRAS,7,8,7.8,8
Entrevistado_238,Entrevistado_238,MAZATLÁN,OCCIDENTE,Primera mención,OTRAS,8.4,5,6,8
Entrevistado_239,Entrevistado_239,COATZACOALCOS,SUR,Primera mención,OTRAS,9,10,7.8,8
Entrevistado_240,Entrevistado_240,LOS CABOS,OCCIDENTE,Primera mención,OTRAS,8,6,8,8
Entrevistado_241,Entrevistado_241,HERMOSILLO,OCCIDENTE,Primera mención,OTRAS,4,8,10,8
Entrevistado_242,Entrevistado_242,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,8,8,9,8
Entrevistado_243,Entrevistado_243,GUADALAJARA,BAJIO,Primera mención,OTRAS,10,6,7.8,8
Entrevistado_244,Entrevistado_244,TEPIC,OCCIDENTE,Primera mención,OTRAS,10,8,4,8
Entrevistado_245,Entrevistado_245,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,3,10,5
Entrevistado_246,Entrevistado_246,TEPIC,OCCIDENTE,Primera mención,OTRAS,8,10,7.8,8
Entrevistado_247,Entrevistado_247,GUADALAJARA,BAJIO,Primera mención,OTRAS,5,10,1,8
Entrevistado_248,Entrevistado_248,GUADALAJARA,BAJIO,Primera mención,OTRAS,8,9,7.8,4
Entrevistado_249,Entrevistado_249,VILLAHERMOSA,SUR,Primera mención,UVM,6,8,7,8
Entrevistado_250,Entrevistado_250,GUADALAJARA,BAJIO,Primera mención,OTRAS,6,9,7.8,2
Entrevistado_251,Entrevistado_251,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,6,8,10,10
Entrevistado_252,Entrevistado_252,CULIACÁN,OCCIDENTE,Primera mención,ITESM,8,8,1,8
